Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
Pilot,2013,TV-14,17 Sep 2013,1,1,23 min,"Comedy, Crime","Phil Lord, Christopher Miller","Dan Goor, Michael Schur","Andy Samberg, Stephanie Beatriz, Terry Crews","Detective Jake Peralta finds his work scrutinized when new Captain, Ray Holt, takes over at his precinct.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTYwODE5Mzk4OV5BMl5BanBnXkFtZTcwMjk0MjE1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,6535,tt2936284,tt2467372,episode,True
The Tagger,2013,TV-14,24 Sep 2013,1,2,21 min,"Comedy, Crime",Craig Zisk,"Dan Goor, Michael Schur, Norm Hiscock","Andy Samberg, Stephanie Beatriz, Terry Crews","When Jake arrives late for work, Captain Holt decides to shadow him. However, the arrest they make proves complicated. Meanwhile, a psychic friend of Gina's gets inside Charles' head.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTYzNTIwNzgzNF5BMl5BanBnXkFtZTgwODYxOTEzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,5147,tt3179592,tt2467372,episode,True
The Slump,2013,TV-14,01 Oct 2013,1,3,21 min,"Comedy, Crime",Julie Anne Robinson,"Dan Goor, Michael Schur, Prentice Penny","Andy Samberg, Stephanie Beatriz, Terry Crews","With a backlog of unsolved cases, Jake finds himself in a slump. Meanwhile, Amy is put in charge of the Junior Police Program for at risk kids, but her efforts to inspire them fall flat.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAwMzA2MTU3MF5BMl5BanBnXkFtZTgwNzU3MTMzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,4796,tt3211762,tt2467372,episode,True
M.E. Time,2013,TV-14,08 Oct 2013,1,4,21 min,"Comedy, Crime",Troy Miller,"Dan Goor, Michael Schur, Gil Ozeri","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake meets an attractive Medical Examiner, but their relationship slows down her work, much to his colleagues' annoyance. Meanwhile, Amy desperately tries to impress Holt.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjYzMzQ1ZjAtODViMi00ZWQzLThhZTAtNGU2YmQwZjVmYmY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,4665,tt3220646,tt2467372,episode,True
The Vulture,2013,TV-14,15 Oct 2013,1,5,22 min,"Comedy, Crime",Jason Ensler,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews",A detective from Major Crimes takes over Jake's nearly solved murder case and steals his thunder.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTIwMmNlZGUtOWYyZi00YTg1LWFlZWYtNDExNzAxOGFlMjcxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,4723,tt3113610,tt2467372,episode,True
Halloween,2013,TV-14,22 Oct 2013,1,6,21 min,"Comedy, Crime",Dean Holland,"Dan Goor, Michael Schur, Lesley Arfin","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake makes a foolish bet with Holt that he can steal his Medal of Valor before Halloween is over, while Amy is forced to wear a costume while undercover with Charles.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGIwZjIwNDItNmYzNC00YzI4LTkwODYtNjQzNWUxYjNiY2Y0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,5305,tt3176582,tt2467372,episode,True
48 Hours,2013,TV-14,05 Nov 2013,1,7,21 min,"Comedy, Crime",Peter Lauer,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake stupidly arrests a male suspect despite having no evidence and only has 48 hours to prove he did it or release him without charge.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDk2ZjBhYWUtYmU5My00ODlmLTkxMjUtYWQ0OTEzYmZlMjAxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,4447,tt3184374,tt2467372,episode,True
Old School,2013,TV-14,12 Nov 2013,1,8,21 min,"Comedy, Crime",Beth McCarthy-Miller,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake is horrified when his hero, Jimmy Brogan, a crime writer, accompanies him on the job, and threatens to quote him in a damning article. Meanwhile, Rosa has to work on her attitude in court.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTkyMTU2ODI1MF5BMl5BanBnXkFtZTgwNzYwMDA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,4265,tt3215234,tt2467372,episode,True
Sal's Pizza,2013,TV-14,19 Nov 2013,1,9,21 min,"Comedy, Crime",Craig Zisk,"Dan Goor, Michael Schur, Lakshmi Sundaram","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake's favorite pizza place burns down and he is determined to prove the owner was not responsible. Meanwhile, Amy is jealous of Rosa's being offered a promotion, and Terry and Gina have to hire a new IT specialist.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk5NzU5MjYzN15BMl5BanBnXkFtZTgwMDI3OTQ2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,4144,tt3317628,tt2467372,episode,True
Thanksgiving,2013,TV-14,26 Nov 2013,1,10,21 min,"Comedy, Crime",N/A,N/A,N/A,"Amy hosts a Thanksgiving dinner at her apartment for everyone at the precinct, but it soon turns into a disaster.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2E4NWE3Y2ItNTIxZS00YWQ3LTgyODItODk4OWNlNDM3Mjg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,4563,tt3267804,tt2467372,episode,True
