Season,Episode,Title,Rating,Total Votes,reception_type
8,8,Renewal,8.1,1211,Cult Favorite
8,7,Game of Boyles,8.1,1278,Cult Favorite
8,4,Balancing,7.8,1450,Balanced
8,5,PB&J,8.0,1454,Cult Favorite
8,6,The Set Up,6.7,1524,Balanced
8,3,Blue Flu,7.0,1641,Balanced
7,10,Admiral Peralta,8.0,1653,Balanced
7,6,Trying,7.8,1762,Balanced
7,8,The Takeback,8.2,1808,Cult Favorite
7,4,The Jimmy Jab Games II,7.9,1820,Balanced
7,11,Valloweaster,8.3,1839,Cult Favorite
7,9,Dillman,8.7,1870,Cult Favorite
8,2,The Lake House,7.9,1891,Balanced
7,5,Debbie,7.3,1925,Balanced
7,2,Captain Kim,8.3,1943,Cult Favorite
5,21,White Whale,8.0,1945,Balanced
7,12,Ransom,8.8,1961,Cult Favorite
6,13,The Bimbo,7.9,1968,Balanced
6,17,Sicko,8.5,1981,Cult Favorite
5,18,Gray Star Mutual,8.0,1992,Balanced
4,19,Your Honor,8.0,2006,Balanced
4,20,The Slaughterhouse,8.0,2008,Balanced
6,10,Gintars,7.4,2017,Balanced
5,16,NutriBoom,7.8,2027,Balanced
5,15,The Puzzle Master,7.7,2031,Balanced
4,12,"The Fugitive, Part 2",8.5,2042,Cult Favorite
5,11,The Favor,8.0,2049,Balanced
7,7,Ding Dong,8.7,2049,Cult Favorite
7,1,Manhunter,8.1,2053,Balanced
4,18,Chasing Amy,8.0,2061,Balanced
5,8,Return to Skyfire,7.5,2064,Balanced
4,14,Serve & Protect,7.9,2074,Balanced
4,13,The Audit,7.7,2079,Balanced
6,11,The Therapist,8.1,2087,Balanced
5,6,The Venue,7.8,2088,Balanced
7,3,Pimemento,8.6,2088,Cult Favorite
5,5,Bad Beat,8.0,2096,Balanced
5,19,Bachelor/ette Party,8.5,2098,Cult Favorite
4,17,Cop-Con,8.3,2113,Cult Favorite
4,21,The Bank Job,8.5,2125,Cult Favorite
5,3,Kicks,8.0,2130,Balanced
8,9,The Last Day Pt 1,9.4,2130,Cult Favorite
5,7,Two Turkeys,8.1,2137,Balanced
4,9,The Overmining,8.0,2145,Balanced
5,17,DFW,7.8,2161,Balanced
4,15,The Last Ride,8.3,2162,Cult Favorite
4,10,Captain Latvia,7.6,2163,Balanced
3,19,Terry Kitties,7.7,2163,Balanced
4,6,Monster in the Closet,7.9,2178,Balanced
4,8,Skyfire Cycle,7.8,2180,Balanced
6,14,Ticking Clocks,8.4,2187,Cult Favorite
3,16,House Mouses,7.8,2198,Balanced
6,9,The Golden Child,8.1,2198,Balanced
3,21,Maximum Security,8.1,2209,Balanced
3,20,Paranoia,8.2,2216,Balanced
5,13,The Negotiation,8.3,2241,Balanced
3,14,Karen Peralta,7.6,2249,Balanced
6,3,The Tattler,7.6,2252,Balanced
3,17,Adrian Pimento,7.8,2253,Balanced
6,12,Casecation,7.6,2256,Balanced
5,20,Show Me Going,8.4,2261,Balanced
3,18,Cheddar,7.8,2265,Balanced
4,22,Crime & Punishment,8.6,2267,Cult Favorite
4,4,The Night Shift,7.6,2283,Popular Voting Choice
3,15,The 9-8,8.0,2288,Balanced
4,11,"The Fugitive, Part 1",8.5,2299,Balanced
4,7,Mr. Santiago,8.2,2304,Balanced
6,5,A Tale of Two Bandits,8.2,2310,Balanced
5,2,The Big House Pt. 2,8.4,2318,Balanced
3,11,Hostage Situation,7.7,2320,Popular Voting Choice
6,7,The Honeypot,8.5,2338,Balanced
