Director_0,avg_rating,episode_count
Michael McDonald,8.258333333333333,12
Claire Scanlon,8.26,10
Linda Mendoza,8.022222222222222,9
Dean Holland,8.257142857142856,7
Beth McCarthy-Miller,7.966666666666666,6
Victor Nelli Jr.,7.983333333333333,6
Rebecca Asher,8.72,5
Craig Zisk,7.859999999999999,5
Dan Goor,9.040000000000001,5
Cortney Carrillo,7.540000000000001,5
Tristram Shapeero,8.14,5
Maggie Carey,7.95,4
Payman Benz,8.45,4
Matthew Nodella,8.325,4
Eric Appel,8.1,4
Trent O'Donnell,7.933333333333334,3
Luke Del Tredici,7.900000000000001,3
Nisha Ganatra,8.200000000000001,3
Giovani Lampassi,8.233333333333334,3
Alex Reid,8.033333333333333,3
Jamie Babbit,8.6,2
Jaffar Mahmood,7.699999999999999,2
Julie Anne Robinson,7.8999999999999995,2
Ken Whittingham,8.05,2
Fred Goss,8.1,2
Akiva Schaffer,8.3,2
Max Winkler,8.0,2
Michael Schur,8.100000000000001,2
Ryan Case,8.6,2
Joe Lo Truglio,7.9,1
Kat Coiro,8.0,1
Julian Farino,8.8,1
Jaime Eliezer Karas,7.9,1
Jake Szymanski,8.2,1
Gail Mancuso,8.0,1
Daniella Eisman,7.8,1
Bruce McCulloch,7.6,1
Jorma Taccone,8.2,1
Jennifer Arnold,7.6,1
Jason Ensler,8.0,1
Kim O. Nguyen,7.8,1
Kevin Bray,7.9,1
Neil Campbell,7.9,1
Michael Spiller,8.1,1
Michael Blieden,7.6,1
Michael Engler,8.5,1
Melissa Fumero,6.4,1
Kyra Sedgwick,8.7,1
Phil Lord,7.8,1
Peter Lauer,8.1,1
Phil Traill,8.6,1
Rebecca Addelman,8.1,1
Phil Augusta Jackson,8.5,1
Stephanie Beatriz,7.0,1
Tim Kirkby,8.3,1
Thembi Banks,8.1,1
Troy Miller,7.7,1
Tucker Gates,7.7,1
