Season,Episode,Title,Rating,running_avg_rating
1,1,Pilot,7.8,7.8
1,2,The Tagger,7.5,7.65
1,3,The Slump,7.6,7.633333333333333
1,4,M.E. Time,7.7,7.65
1,5,The Vulture,8.0,7.720000000000001
1,6,Halloween,8.5,7.8500000000000005
1,7,48 Hours,8.1,7.885714285714286
1,8,Old School,7.7,7.8625
1,9,Sal's Pizza,7.6,7.833333333333333
1,10,Thanksgiving,8.2,7.87
1,11,Christmas,8.2,7.8999999999999995
1,12,Pontiac Bandit,8.1,7.916666666666667
1,13,The Bet,8.8,7.984615384615385
1,14,The Ebony Falcon,7.6,7.957142857142856
1,15,Operation: Broken Feather,8.2,7.973333333333333
1,16,The Party,8.5,8.00625
1,17,Full Boyle,7.9,8.0
1,18,The Apartment,7.7,7.9833333333333325
1,19,Tactical Village,8.5,8.010526315789473
1,20,Fancy Brudgom,7.6,7.99
1,21,Unsolvable,8.2,8.0
1,22,Charges and Specs,8.9,8.040909090909091
2,1,Undercover,8.2,8.2
2,2,Chocolate Milk,7.7,7.949999999999999
2,3,The Jimmy Jab Games,8.3,8.066666666666666
2,4,Halloween II,8.8,8.25
2,5,The Mole,8.2,8.24
2,6,Jake and Sophia,8.2,8.233333333333333
2,7,Lockdown,7.8,8.171428571428573
2,8,USPIS,7.9,8.1375
2,9,The Road Trip,8.2,8.144444444444444
2,10,The Pontiac Bandit Returns,8.3,8.16
2,11,Stakeout,7.8,8.127272727272727
2,12,Beach House,8.3,8.141666666666667
2,13,Payback,8.0,8.13076923076923
2,14,Defense Rests,7.7,8.1
2,15,Windbreaker City,8.2,8.106666666666666
2,16,The Wednesday Incident,8.0,8.1
2,17,Boyle-Linetti Wedding,8.2,8.105882352941178
2,18,Captain Peralta,7.8,8.088888888888889
2,19,Sabotage,7.9,8.078947368421053
2,20,AC/DC,7.7,8.059999999999999
2,21,Det. Dave Majors,8.0,8.057142857142857
2,22,The Chopper,8.6,8.081818181818182
2,23,Johnny and Dora,9.1,8.126086956521739
3,1,New Captain,8.3,8.3
3,2,The Funeral,7.7,8.0
3,3,Boyle's Hunch,7.8,7.933333333333334
3,4,The Oolong Slayer,8.5,8.075
3,5,Halloween III,9.0,8.26
3,6,Into the Woods,7.8,8.183333333333334
3,7,The Mattress,7.8,8.128571428571428
3,8,Ava,8.2,8.1375
3,9,The Swedes,7.8,8.100000000000001
3,10,Yippie Kayak,8.8,8.17
3,11,Hostage Situation,7.7,8.127272727272727
3,12,9 Days,8.0,8.116666666666667
3,13,The Cruise,8.1,8.115384615384615
3,14,Karen Peralta,7.6,8.078571428571427
3,15,The 9-8,8.0,8.073333333333332
3,16,House Mouses,7.8,8.05625
3,17,Adrian Pimento,7.8,8.041176470588235
3,18,Cheddar,7.8,8.027777777777779
3,19,Terry Kitties,7.7,8.010526315789473
3,20,Paranoia,8.2,8.02
3,21,Maximum Security,8.1,8.023809523809524
3,22,Bureau,8.7,8.054545454545455
3,23,Greg and Larry,9.0,8.095652173913043
4,1,"Coral Palms, Part 1",8.2,8.2
4,2,"Coral Palms, Part 2",8.2,8.2
4,3,"Coral Palms, Part 3",8.4,8.266666666666666
4,4,The Night Shift,7.6,8.1
4,5,Halloween IV,8.8,8.24
